FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
280,39.375000000000000,117.592000000000000,315.800000000000010,7/21/2013 0:00:00,3,64,14.199999999999999,12,11
281,39.375999999999998,117.590000000000000,319.699999999999990,6/15/2009 0:00:00,5,34,6.400000000000000,12,13
282,39.375999999999998,117.593000000000000,321.699999999999990,8/10/2012 0:00:00,5,74,17.000000000000000,12,13
283,39.375999999999998,117.590000000000000,319.699999999999990,6/15/2009 0:00:00,5,34,6.400000000000000,12,13
284,39.375999999999998,117.593000000000000,321.699999999999990,8/10/2012 0:00:00,5,74,17.000000000000000,12,13
285,39.460000000000001,117.186000000000010,314.600000000000020,6/25/2010 0:00:00,4,34,21.500000000000000,12,12
286,39.375999999999998,117.593000000000000,321.699999999999990,8/10/2012 0:00:00,5,74,17.000000000000000,12,13
287,39.375999999999998,117.593000000000000,321.699999999999990,8/10/2012 0:00:00,5,74,17.000000000000000,12,13
288,39.378000000000000,117.584999999999990,323.000000000000000,5/25/2013 0:00:00,5,49,10.000000000000000,12,13
289,39.375999999999998,117.602000000000000,319.699999999999990,6/20/2010 0:00:00,3,72,14.800000000000001,12,11
290,39.375999999999998,117.602000000000000,319.699999999999990,6/20/2010 0:00:00,3,72,14.800000000000001,12,11
291,39.484000000000002,117.075999999999990,323.000000000000000,6/24/2013 0:00:00,5,73,12.600000000000000,14,13
292,39.375999999999998,117.602000000000000,319.699999999999990,6/20/2010 0:00:00,3,72,14.800000000000001,12,11
293,39.378000000000000,117.599000000000000,320.100000000000020,6/2/2010 0:00:00,5,47,11.900000000000000,12,13
294,39.378000000000000,117.602999999999990,325.199999999999990,6/15/2009 0:00:00,5,78,14.400000000000000,12,13
295,39.420999999999999,117.398000000000000,316.699999999999990,8/7/2014 0:00:00,5,0,9.400000000000000,12,13
296,39.381000000000000,117.593999999999990,320.600000000000020,6/12/2013 0:00:00,3,58,11.400000000000000,12,11
298,39.421999999999997,117.408000000000000,313.000000000000000,6/25/2012 0:00:00,3,46,14.100000000000000,12,11
300,39.423000000000002,117.407000000000000,326.300000000000010,6/12/2013 0:00:00,3,75,26.100000000000001,12,11
301,39.478000000000002,117.143000000000000,316.500000000000000,6/15/2009 0:00:00,5,42,6.000000000000000,14,13
302,39.491000000000000,117.108999999999990,329.500000000000000,6/24/2010 0:00:00,3,82,25.199999999999999,12,11
303,39.490000000000002,117.124000000000000,323.000000000000000,6/24/2010 0:00:00,3,33,13.600000000000000,14,11
304,39.530999999999999,116.935000000000000,319.600000000000020,6/24/2010 0:00:00,3,14,9.199999999999999,12,11
305,39.531999999999996,116.937000000000000,318.899999999999980,6/21/2004 0:00:00,3,69,9.699999999999999,12,11
306,39.509999999999998,117.051000000000000,318.699999999999990,6/17/2007 0:00:00,5,70,9.300000000000001,12,13
312,39.469999999999999,117.321000000000000,314.899999999999980,6/13/2009 0:00:00,4,42,25.100000000000001,12,12
318,39.529000000000003,117.041000000000000,325.500000000000000,6/24/2010 0:00:00,3,50,18.199999999999999,12,11
319,39.527999999999999,117.056000000000000,329.800000000000010,6/24/2010 0:00:00,3,83,27.600000000000001,12,11
321,39.512000000000000,117.141000000000010,319.300000000000010,6/15/2009 0:00:00,5,69,8.400000000000000,12,13
323,39.523000000000003,117.099999999999990,328.100000000000020,6/24/2010 0:00:00,3,81,22.899999999999999,12,11
324,39.390000000000001,117.858999999999990,314.000000000000000,3/20/2005 0:00:00,3,60,13.699999999999999,12,11
326,39.512999999999998,117.276000000000000,325.500000000000000,6/24/2010 0:00:00,3,79,23.000000000000000,12,11
327,39.500999999999998,117.349000000000000,313.399999999999980,6/22/2010 0:00:00,3,58,7.400000000000000,12,11
328,39.552999999999997,117.096000000000000,323.000000000000000,6/24/2010 0:00:00,3,76,12.500000000000000,12,11
329,39.472000000000001,117.531000000000010,325.899999999999980,4/7/2013 0:00:00,5,79,30.300000000000001,12,13
330,39.526000000000003,117.286000000000000,312.800000000000010,6/12/2013 0:00:00,3,55,9.199999999999999,12,11
331,39.551000000000002,117.197000000000000,327.600000000000020,6/15/2009 0:00:00,5,73,19.199999999999999,12,13
332,39.427999999999997,117.795000000000000,332.399999999999980,1/27/2006 0:00:00,3,85,50.500000000000000,12,11
333,39.549999999999997,117.212000000000000,321.500000000000000,6/15/2009 0:00:00,4,42,18.699999999999999,12,12
334,39.487000000000002,117.552000000000010,318.199999999999990,5/24/2005 0:00:00,5,61,15.900000000000000,12,13
335,39.436000000000000,117.796000000000010,310.800000000000010,2/5/2010 0:00:00,3,43,20.399999999999999,12,11
336,39.595999999999997,117.033000000000000,314.899999999999980,8/10/2012 0:00:00,5,60,8.000000000000000,12,13
337,39.581000000000003,117.110000000000000,319.300000000000010,6/22/2010 0:00:00,3,32,9.000000000000000,12,11
338,39.555000000000000,117.261000000000000,323.399999999999980,6/13/2009 0:00:00,5,76,11.699999999999999,12,13
339,39.560000000000002,117.239000000000000,319.600000000000020,6/15/2009 0:00:00,4,37,14.500000000000000,12,12
340,39.567000000000000,117.218999999999990,312.199999999999990,6/12/2013 0:00:00,3,44,7.500000000000000,12,11
341,39.590000000000003,117.111999999999990,319.800000000000010,6/22/2010 0:00:00,3,41,10.100000000000000,12,11
342,39.570000000000000,117.227000000000000,311.800000000000010,6/25/2012 0:00:00,3,51,9.100000000000000,12,11
343,39.600000000000001,117.262000000000000,330.000000000000000,6/15/2009 0:00:00,5,83,23.399999999999999,12,13
344,39.634000000000000,117.175000000000000,315.899999999999980,6/20/2010 0:00:00,3,64,7.900000000000000,12,11
345,39.637999999999998,117.169000000000000,310.699999999999990,6/25/2012 0:00:00,3,42,7.800000000000000,12,11
346,39.639000000000003,117.167000000000000,311.300000000000010,6/12/2013 0:00:00,3,43,7.400000000000000,12,11
347,39.588000000000001,117.421000000000010,315.399999999999980,6/27/2012 0:00:00,3,33,8.699999999999999,12,11
348,39.601999999999997,117.354000000000000,316.500000000000000,6/13/2014 0:00:00,4,44,16.300000000000001,12,12
349,39.637000000000000,117.265000000000000,312.100000000000020,7/26/2009 0:00:00,3,50,9.600000000000000,12,11
350,39.637000000000000,117.265000000000000,312.100000000000020,7/26/2009 0:00:00,3,50,9.600000000000000,12,11
351,39.637999999999998,117.266000000000010,326.800000000000010,6/20/2010 0:00:00,3,80,23.300000000000001,12,11
