FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,local_time,RASTERVALU
98,38.796999999999997,116.147000000000010,328.399999999999980,6/14/2012 0:00:00,5,79,14.000000000000000,13,12
99,38.795000000000002,116.159000000000010,328.800000000000010,5/30/2014 0:00:00,3,75,11.400000000000000,11,12
100,38.796999999999997,116.149000000000000,319.899999999999980,7/2/2012 0:00:00,3,48,10.600000000000000,11,12
101,38.795999999999999,116.156000000000010,328.399999999999980,6/16/2012 0:00:00,3,81,10.699999999999999,11,12
102,38.798000000000002,116.146000000000000,327.399999999999980,5/24/2010 0:00:00,5,78,15.100000000000000,13,12
103,38.796999999999997,116.153000000000010,323.300000000000010,6/24/2009 0:00:00,3,76,9.900000000000000,11,12
104,38.796999999999997,116.156000000000010,328.800000000000010,6/7/2011 0:00:00,3,77,13.900000000000000,11,12
105,38.798000000000002,116.151000000000000,329.500000000000000,6/1/2009 0:00:00,3,80,11.100000000000000,11,12
106,38.808000000000000,116.102000000000000,325.000000000000000,6/17/2005 0:00:00,3,78,15.800000000000001,11,12
107,38.798000000000002,116.154000000000000,324.199999999999990,6/22/2009 0:00:00,5,69,9.000000000000000,13,12
108,38.798999999999999,116.149000000000000,328.300000000000010,6/4/2014 0:00:00,5,62,15.199999999999999,13,12
109,38.798999999999999,116.155000000000000,330.300000000000010,6/20/2010 0:00:00,3,83,18.100000000000001,11,12
110,38.798999999999999,116.158000000000000,320.300000000000010,7/5/2013 0:00:00,3,72,13.100000000000000,11,12
111,38.783999999999999,116.230000000000000,314.199999999999990,10/7/2013 0:00:00,5,60,11.300000000000001,13,12
112,38.798999999999999,116.155000000000000,330.300000000000010,6/20/2010 0:00:00,3,83,18.100000000000001,11,12
113,38.798999999999999,116.158000000000000,320.300000000000010,7/5/2013 0:00:00,3,72,13.100000000000000,11,12
114,38.799999999999997,116.155000000000000,328.399999999999980,7/9/2011 0:00:00,3,81,10.500000000000000,11,12
115,38.786000000000001,116.242999999999990,313.600000000000020,10/7/2013 0:00:00,5,59,10.500000000000000,13,12
116,38.826999999999998,116.049000000000010,316.500000000000000,8/19/2006 0:00:00,3,66,12.900000000000000,11,12
117,38.743000000000002,116.477999999999990,310.300000000000010,10/10/2013 0:00:00,6,35,11.699999999999999,14,12
118,38.826000000000001,116.058000000000010,317.899999999999980,7/5/2013 0:00:00,3,50,11.900000000000000,11,12
119,38.841999999999999,116.016000000000010,315.899999999999980,2/2/2011 0:00:00,5,65,25.199999999999999,13,14
