FID,latitude,longitude,brightness,acq_date,acq_time,confidence,frp,RASTERVALU,local_time
31,39.484000000000002,116.050000000000000,331.500000000000000,6/20/2014 0:00:00,5,84,29.7,13,13
32,39.484000000000002,116.050000000000000,331.500000000000000,6/20/2014 0:00:00,5,84,29.7,13,13
33,39.487000000000002,116.047000000000000,319.899999999999980,6/29/2005 0:00:00,3,62,11.5,12,11
34,39.488000000000000,116.042000000000000,321.300000000000010,6/12/2013 0:00:00,3,50,13.6,12,11
35,39.485999999999997,116.053000000000000,319.100000000000020,6/12/2013 0:00:00,3,38,11.4,13,11
36,39.479999999999997,116.363000000000000,318.300000000000010,6/20/2014 0:00:00,5,55,11.8,12,13
37,39.497999999999998,116.295000000000000,328.600000000000020,6/20/2014 0:00:00,5,77,27,12,13
38,39.512000000000000,116.236999999999990,311.800000000000010,6/12/2013 0:00:00,3,51,6.5,12,11
39,39.500000000000000,116.302000000000010,318.800000000000010,6/14/2011 0:00:00,3,68,8.5,12,11
40,39.500999999999998,116.297000000000000,327.600000000000020,6/17/2007 0:00:00,5,81,14.6,12,13
41,39.500999999999998,116.297000000000000,327.600000000000020,6/17/2007 0:00:00,5,81,14.6,12,13
42,39.488999999999997,116.360000000000000,320.600000000000020,6/20/2014 0:00:00,5,66,15,12,13
43,39.500999999999998,116.299000000000010,322.500000000000000,5/29/2006 0:00:00,5,75,10.9,12,13
44,39.500999999999998,116.299000000000010,322.500000000000000,5/29/2006 0:00:00,5,75,10.9,12,13
45,39.500000000000000,116.307000000000000,326.199999999999990,6/20/2014 0:00:00,5,79,23.1,13,13
46,39.503000000000000,116.296000000000010,319.600000000000020,6/12/2013 0:00:00,3,71,12.3,12,11
47,39.500999999999998,116.308000000000010,321.699999999999990,6/12/2013 0:00:00,3,74,15,13,11
48,39.570999999999998,116.071000000000000,317.300000000000010,6/20/2014 0:00:00,5,55,11.5,12,13
49,39.609000000000002,116.303000000000000,318.600000000000020,6/20/2014 0:00:00,5,59,10.5,12,13
50,39.613000000000000,116.306000000000000,318.500000000000000,6/12/2013 0:00:00,3,70,10.7,12,11
51,39.613000000000000,116.306000000000000,318.500000000000000,6/12/2013 0:00:00,3,70,10.7,12,11
52,39.616999999999997,116.305000000000010,330.100000000000020,6/1/2009 0:00:00,3,80,14.6,12,11
53,39.561000000000000,116.631000000000000,315.500000000000000,8/18/2014 0:00:00,3,58,9.4,12,11
54,39.572000000000003,116.611999999999990,310.600000000000020,10/27/2011 0:00:00,5,41,15.8,13,13
55,39.645000000000003,116.278000000000010,319.399999999999980,6/12/2013 0:00:00,3,70,10.3,12,11
56,39.643999999999998,116.290000000000010,317.800000000000010,6/12/2013 0:00:00,3,48,8.1,12,11
57,39.552999999999997,116.775000000000010,322.699999999999990,6/19/2008 0:00:00,5,70,11.1,12,13
58,39.552999999999997,116.771000000000000,323.500000000000000,6/15/2009 0:00:00,5,66,12.2,12,13
59,39.552999999999997,116.775000000000010,322.699999999999990,6/19/2008 0:00:00,5,70,11.1,12,13
60,39.552999999999997,116.771000000000000,323.500000000000000,6/15/2009 0:00:00,5,66,12.2,12,13
61,39.552999999999997,116.771000000000000,323.500000000000000,6/15/2009 0:00:00,5,66,12.2,12,13
62,39.552000000000000,116.776000000000000,326.600000000000020,6/14/2006 0:00:00,5,61,11.5,12,13
63,39.552999999999997,116.775000000000010,322.699999999999990,6/19/2008 0:00:00,5,70,11.1,12,13
64,39.558999999999997,116.810000000000000,320.699999999999990,6/15/2009 0:00:00,5,40,7,13,13
65,39.673999999999999,116.328999999999990,335.600000000000020,6/12/2013 0:00:00,3,84,29.4,13,11
66,39.683999999999997,116.330000000000000,324.800000000000010,6/17/2007 0:00:00,5,54,8.6,12,13
67,39.658999999999999,116.530000000000000,310.699999999999990,10/11/2006 0:00:00,5,42,9.4,12,13
68,39.692000000000000,116.367000000000000,319.600000000000020,4/1/2014 0:00:00,5,71,10.4,12,13
69,39.694000000000003,116.364000000000000,328.500000000000000,5/23/2004 0:00:00,5,81,17.5,12,13
70,39.694000000000003,116.364000000000000,328.500000000000000,5/23/2004 0:00:00,5,81,17.5,12,13
