latitude,longitude,brightness,acq_date,confidence,frp
38.859,115.92,312.9,2008-10-27 03:00:00,56,18.9
38.868,115.875,320.2,2012-10-09 06:00:00,72,18.7
38.934,115.534,324.2,2006-06-16 03:00:00,77,9.6
38.939,115.511,325.3,2007-06-11 06:00:00,78,29.3
38.869,115.887,319.3,2012-10-09 06:00:00,71,17.9
38.863,115.927,312.8,2008-10-27 03:00:00,56,15.5
38.866,115.914,311.9,2008-10-27 03:00:00,52,14.1
38.865,115.92,318.9,2007-06-21 05:00:00,44,38.9
38.894,115.779,313.2,2010-11-11 03:00:00,57,18.5
38.869,115.923,325.7,2006-06-18 03:00:00,44,10.5
38.874,115.918,326.3,2004-06-22 05:00:00,79,12.5
38.886,115.861,338.9,2004-06-22 05:00:00,89,33
38.874,115.925,327.6,2005-06-20 03:00:00,14,19
38.876,115.922,309.7,2007-06-16 14:00:00,68,23.4
38.914,115.732,326.3,2007-06-15 05:00:00,31,9.3
38.988,115.345,330.3,2014-07-13 05:00:00,36,11.9
38.913,115.748,319.3,2005-06-19 03:00:00,32,18.2
38.979,115.403,323.2,2007-06-15 05:00:00,76,10.1
38.9,115.831,312.7,2012-10-09 06:00:00,55,11
38.901,115.828,315,2012-10-13 03:00:00,57,18.1
38.986,115.39,326,2007-06-15 05:00:00,79,12.7
38.994,115.349,312.1,2009-07-26 03:00:00,35,7.3
38.994,115.349,318,2013-07-28 03:00:00,58,11.9
38.994,115.349,312.1,2009-07-26 03:00:00,35,7.3
38.994,115.349,318,2013-07-28 03:00:00,58,11.9
38.995,115.344,318.6,2011-07-21 05:00:00,58,11.2
38.939,115.641,330.1,2005-06-23 06:00:00,83,14.1
38.996,115.345,327,2010-07-02 05:00:00,80,14.7
38.996,115.346,319.5,2010-07-18 05:00:00,57,9
38.898,115.866,337,2005-06-20 05:00:00,88,35.8
38.997,115.349,322.2,2013-06-24 05:00:00,56,15.3
38.913,115.791,327.8,2007-06-15 05:00:00,81,12
38.997,115.355,316.4,2009-08-11 03:00:00,60,9.3
38.997,115.35,317.5,2012-08-19 03:00:00,54,11.5
38.997,115.351,318,2012-08-24 05:00:00,50,10.7
38.997,115.351,318,2012-08-24 05:00:00,50,10.7
38.988,115.401,324.6,2007-06-15 05:00:00,78,10.9
38.998,115.349,316.2,2010-04-29 05:00:00,58,7.6
38.94,115.655,337.4,2005-06-23 06:00:00,88,29.4
38.997,115.355,316.4,2009-08-11 03:00:00,60,9.3
38.998,115.356,323.7,2010-07-02 05:00:00,59,9.5
38.998,115.35,315.4,2012-09-04 03:00:00,33,12.2
38.999,115.346,320,2011-05-13 03:00:00,43,8.2
38.999,115.347,318.9,2011-06-30 03:00:00,54,8.7
38.999,115.348,320.4,2012-05-15 03:00:00,53,9.3
38.999,115.35,318,2010-08-14 03:00:00,68,11.6
38.999,115.355,322.8,2011-07-16 03:00:00,76,15.6
38.999,115.355,333.7,2013-07-05 03:00:00,86,29.2
38.999,115.355,319.3,2014-05-05 03:00:00,30,8.6
38.998,115.356,323.7,2010-07-02 05:00:00,59,9.5
38.93,115.716,326.4,2007-06-15 05:00:00,52,11.2
38.999,115.355,322.8,2011-07-16 03:00:00,76,15.6
38.999,115.355,333.7,2013-07-05 03:00:00,86,29.2
38.999,115.355,319.3,2014-05-05 03:00:00,30,8.6
38.999,115.355,322.8,2011-07-16 03:00:00,76,15.6
38.999,115.355,333.7,2013-07-05 03:00:00,86,29.2
38.999,115.355,319.3,2014-05-05 03:00:00,30,8.6
38.999,115.355,322.8,2011-07-16 03:00:00,76,15.6
38.999,115.355,333.7,2013-07-05 03:00:00,86,29.2
38.999,115.355,319.3,2014-05-05 03:00:00,30,8.6
38.9,115.874,334.4,2005-06-20 05:00:00,72,29
39.001,115.348,321.5,2010-06-16 05:00:00,67,8.3
39.001,115.352,326.9,2011-06-19 05:00:00,78,10.8
39.001,115.353,331,2012-07-02 03:00:00,84,24
39.001,115.354,326.5,2014-06-11 05:00:00,30,9.3
38.902,115.874,327.1,2012-10-13 03:00:00,80,38.5
38.903,115.87,317,2012-10-13 05:00:00,67,19.4
38.94,115.68,320.1,2014-08-25 03:00:00,68,15.4
39.004,115.351,312.3,2009-07-26 03:00:00,28,7.6
38.974,115.51,324.8,2006-06-18 03:00:00,78,11.2
39.003,115.357,319.2,2014-08-09 03:00:00,37,10.9
39.008,115.331,312.3,2010-04-13 05:00:00,42,8.7
39.004,115.355,330.5,2012-06-16 03:00:00,80,14
38.903,115.885,327.6,2005-06-22 03:00:00,81,14.1
38.91,115.856,335.9,2004-06-28 03:00:00,87,31.5
39.006,115.353,317,2013-08-06 03:00:00,51,9.9
38.908,115.868,326.3,2004-06-28 03:00:00,79,16.9
